playlist,id
Hot Hits UK,37i9dQZF1DWY4lFlS4Pnso
Guilty Pleasures,37i9dQZF1DX4pUKG1kS0Ac
Retrowave / Outrun,37i9dQZF1DXdLEN7aqioXM
Ultimate Party Classics,37i9dQZF1DX0IlCGIUGBsA
Warehouse Party,37i9dQZF1DX5hHfOi73rY3
Indie Party,37i9dQZF1DWTujiC7wfofZ
This is Architects,37i9dQZF1DXaZvoHOvRg3p
Metalcore Classics,37i9dQZF1DX6P51sFpSo2r
Grim Shutdown,37i9dQZF1DWSOkubnsDCSS
Rap UK,37i9dQZF1DX6PKX5dyBKeq
80s Hits,37i9dQZF1DXb57FjYWz00c
90s Rock Anthems,37i9dQZF1DX1rVvRgjX59F
Chilled Jazz,37i9dQZF1DX2vYju3i0lNX
Coffee Table Jazz,37i9dQZF1DWVqfgj8NZEp1
Classical Essentials,37i9dQZF1DWWEJlAGA9gs0
Massive Dance Hits,37i9dQZF1DX5uokaTN4FTR
This is: Dillinger Escape Plan,37i9dQZF1DXc4KDt2dpmuP
This Is How We Do,37i9dQZF1DX4a0nQYnltiQ
Fresh Folk,37i9dQZF1DXaUDcU6KDCj4
Bollywood Party,37i9dQZF1DWTUfv2yzHEe7
Kickass Metal,37i9dQZF1DWTcqUzwhNmKv
Blues & Roots Rock,37i9dQZF1DWSKpvyAAcaNZ
Reggae Classics,37i9dQZF1DXbSbnqxMTGx9
This Is Beastie Boys,37i9dQZF1DX46YR1jKxz8o
