track name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,artists,genres,playlist
Just You and I,0.567,0.696,9,-5.416,1,0.301,0.456,0,0.113,0.544,92.061,audio_features,2n48BjaFSczfeIG3HaIaPv,spotify:track:2n48BjaFSczfeIG3HaIaPv,https://api.spotify.com/v1/tracks/2n48BjaFSczfeIG3HaIaPv,https://api.spotify.com/v1/audio-analysis/2n48BjaFSczfeIG3HaIaPv,174983,4,['Tom Walker'],"['indie anthem-folk', 'modern rock']",Hot Hits UK
Don't Call Me Up,0.674,0.881,9,-2.853,1,0.147,0.296,3.01e-06,0.0793,0.234,98.994,audio_features,5WHTFyqSii0lmT9R21abT8,spotify:track:5WHTFyqSii0lmT9R21abT8,https://api.spotify.com/v1/tracks/5WHTFyqSii0lmT9R21abT8,https://api.spotify.com/v1/audio-analysis/5WHTFyqSii0lmT9R21abT8,178480,4,['Mabel'],"['dance pop', 'house', 'pop', 'post-teen pop', 'r&b', 'tropical house', 'uk pop']",This Is How We Do
One Drink,0.707,0.771,11,-4.371,1,0.0821,0.0342,1.79e-06,0.0684,0.609,94.035,audio_features,7vSm2hckpPHTrIHpqmqOze,spotify:track:7vSm2hckpPHTrIHpqmqOze,https://api.spotify.com/v1/tracks/7vSm2hckpPHTrIHpqmqOze,https://api.spotify.com/v1/audio-analysis/7vSm2hckpPHTrIHpqmqOze,200720,4,['Picture This'],['indie anthem-folk'],Hot Hits UK
Dancing With A Stranger (with Normani),0.741,0.52,8,-7.513,1,0.0656,0.45,1.97e-06,0.222,0.347,102.998,audio_features,6Qs4SXO9dwPj5GKvVOv8Ki,spotify:track:6Qs4SXO9dwPj5GKvVOv8Ki,https://api.spotify.com/v1/tracks/6Qs4SXO9dwPj5GKvVOv8Ki,https://api.spotify.com/v1/audio-analysis/6Qs4SXO9dwPj5GKvVOv8Ki,171030,4,"['Sam Smith', 'Normani']","[['pop'], ['dance pop', 'pop', 'post-teen pop', 'r&b']]",Hot Hits UK
Hello My Love,0.679,0.717,0,-4.548,1,0.0384,0.0971,0,0.124,0.255,121.96,audio_features,4EtIza2cKMmR2XP7idebXG,spotify:track:4EtIza2cKMmR2XP7idebXG,https://api.spotify.com/v1/tracks/4EtIza2cKMmR2XP7idebXG,https://api.spotify.com/v1/audio-analysis/4EtIza2cKMmR2XP7idebXG,214212,4,['Westlife'],"['boy band', 'dance pop', 'europop']",Hot Hits UK
Someone You Loved,0.501,0.405,1,-5.679,1,0.0319,0.751,0,0.105,0.446,109.891,audio_features,2TIlqbIneP0ZY1O0EzYLlc,spotify:track:2TIlqbIneP0ZY1O0EzYLlc,https://api.spotify.com/v1/tracks/2TIlqbIneP0ZY1O0EzYLlc,https://api.spotify.com/v1/audio-analysis/2TIlqbIneP0ZY1O0EzYLlc,182161,4,['Lewis Capaldi'],"['pop', 'uk pop']",Hot Hits UK
Black,0.495,0.757,7,-7.15,1,0.422,0.359,0,0.116,0.334,81.584,audio_features,2IzjEAXzEYu5jYpAbiRxTk,spotify:track:2IzjEAXzEYu5jYpAbiRxTk,https://api.spotify.com/v1/tracks/2IzjEAXzEYu5jYpAbiRxTk,https://api.spotify.com/v1/audio-analysis/2IzjEAXzEYu5jYpAbiRxTk,228280,4,['Dave'],"['indie r&b', 'uk hip hop']",Rap UK
Giant (with Rag'n'Bone Man),0.807,0.887,1,-4.311,0,0.0361,0.016,0.000503,0.0811,0.606,122.015,audio_features,5itOtNx0WxtJmi1TQ3RuRd,spotify:track:5itOtNx0WxtJmi1TQ3RuRd,https://api.spotify.com/v1/tracks/5itOtNx0WxtJmi1TQ3RuRd,https://api.spotify.com/v1/audio-analysis/5itOtNx0WxtJmi1TQ3RuRd,229184,4,"['Calvin Harris', ""Rag'n'Bone Man""]","[['edm', 'electro house', 'house', 'pop', 'progressive house'], ['neo soul']]",Massive Dance Hits
"break up with your girlfriend, i'm bored",0.726,0.554,5,-5.29,0,0.0917,0.0421,0,0.106,0.335,169.999,audio_features,4kV4N9D1iKVxx1KLvtTpjS,spotify:track:4kV4N9D1iKVxx1KLvtTpjS,https://api.spotify.com/v1/tracks/4kV4N9D1iKVxx1KLvtTpjS,https://api.spotify.com/v1/audio-analysis/4kV4N9D1iKVxx1KLvtTpjS,190440,4,['Ariana Grande'],"['dance pop', 'pop', 'post-teen pop']",This Is How We Do
i'm so tired...,0.599,0.733,11,-7.058,1,0.203,0.176,0,0.242,0.534,102.211,audio_features,7COXchtUOMd6uIT6HvmRaI,spotify:track:7COXchtUOMd6uIT6HvmRaI,https://api.spotify.com/v1/tracks/7COXchtUOMd6uIT6HvmRaI,https://api.spotify.com/v1/audio-analysis/7COXchtUOMd6uIT6HvmRaI,162583,4,"['Lauv', 'Troye Sivan']","[['dance pop', 'pop', 'post-teen pop'], ['dance pop', 'pop', 'post-teen pop', 'viral pop']]",Hot Hits UK
Sucker,0.842,0.734,1,-5.065,0,0.0588,0.0427,0,0.106,0.952,137.958,audio_features,4y3OI86AEP6PQoDE6olYhO,spotify:track:4y3OI86AEP6PQoDE6olYhO,https://api.spotify.com/v1/tracks/4y3OI86AEP6PQoDE6olYhO,https://api.spotify.com/v1/audio-analysis/4y3OI86AEP6PQoDE6olYhO,181040,4,['Jonas Brothers'],"['boy band', 'dance pop', 'pop', 'post-teen pop']",Hot Hits UK
Nothing Breaks Like a Heart (feat. Miley Cyrus),0.601,0.794,7,-5.844,0,0.0671,0.00987,1.36e-06,0.388,0.244,114.066,audio_features,27rdGxbavYJeBphck5MZAF,spotify:track:27rdGxbavYJeBphck5MZAF,https://api.spotify.com/v1/tracks/27rdGxbavYJeBphck5MZAF,https://api.spotify.com/v1/audio-analysis/27rdGxbavYJeBphck5MZAF,217467,4,"['Mark Ronson', 'Miley Cyrus']","[['dance pop', 'pop'], ['dance pop', 'pop', 'post-teen pop']]",Hot Hits UK
Almost (Sweet Music),0.427,0.689,7,-5.589,1,0.135,0.021,1.69e-06,0.203,0.706,88.875,audio_features,2e9N4vHYVUwSwRorBzsZXE,spotify:track:2e9N4vHYVUwSwRorBzsZXE,https://api.spotify.com/v1/tracks/2e9N4vHYVUwSwRorBzsZXE,https://api.spotify.com/v1/audio-analysis/2e9N4vHYVUwSwRorBzsZXE,217480,4,['Hozier'],"['folk-pop', 'irish singer-songwriter', 'pop']",Fresh Folk
Don’t Feel Like Crying,0.749,0.814,5,-3.769,0,0.0404,0.156,0,0.0673,0.715,119.964,audio_features,1oLSje4Ot5qRUq8FqYeXOl,spotify:track:1oLSje4Ot5qRUq8FqYeXOl,https://api.spotify.com/v1/tracks/1oLSje4Ot5qRUq8FqYeXOl,https://api.spotify.com/v1/audio-analysis/1oLSje4Ot5qRUq8FqYeXOl,157010,4,['Sigrid'],"['dance pop', 'norwegian pop', 'pop']",Hot Hits UK
Walk Me Home,0.652,0.453,1,-6.119,1,0.0445,0.0519,0,0.179,0.432,88.038,audio_features,7DHApOHsIFo7EyfieArYGE,spotify:track:7DHApOHsIFo7EyfieArYGE,https://api.spotify.com/v1/tracks/7DHApOHsIFo7EyfieArYGE,https://api.spotify.com/v1/audio-analysis/7DHApOHsIFo7EyfieArYGE,177391,3,['P!nk'],"['dance pop', 'pop', 'post-teen pop', 'r&b']",Hot Hits UK
Who Do You Love (with 5 Seconds of Summer),0.51,0.835,3,-4.673,1,0.0447,0.00791,0,0.219,0.435,140.024,audio_features,11cDEev79fPKi6uJCjUhu8,spotify:track:11cDEev79fPKi6uJCjUhu8,https://api.spotify.com/v1/tracks/11cDEev79fPKi6uJCjUhu8,https://api.spotify.com/v1/audio-analysis/11cDEev79fPKi6uJCjUhu8,226747,4,"['The Chainsmokers', '5 Seconds of Summer']","[['dance pop', 'edm', 'electropop', 'pop', 'tropical house'], ['boy band', 'dance pop', 'pop', 'post-teen pop']]",Hot Hits UK
Think About Us (feat. Ty Dolla $ign),0.511,0.795,8,-3.714,1,0.146,0.0845,0,0.102,0.432,175.987,audio_features,18n2GdCpsHYzkbMKPavE7Y,spotify:track:18n2GdCpsHYzkbMKPavE7Y,https://api.spotify.com/v1/tracks/18n2GdCpsHYzkbMKPavE7Y,https://api.spotify.com/v1/audio-analysis/18n2GdCpsHYzkbMKPavE7Y,234434,4,"['Little Mix', 'Ty Dolla $ign']","[['dance pop', 'girl group', 'pop', 'post-teen pop', 'r&b', 'talent show', 'uk pop'], ['hip hop', 'pop', 'pop rap', 'r&b', 'rap', 'trap music']]",Hot Hits UK
7 rings,0.725,0.321,1,-10.744,0,0.323,0.578,0,0.0884,0.319,70.142,audio_features,14msK75pk3pA33pzPVNtBF,spotify:track:14msK75pk3pA33pzPVNtBF,https://api.spotify.com/v1/tracks/14msK75pk3pA33pzPVNtBF,https://api.spotify.com/v1/audio-analysis/14msK75pk3pA33pzPVNtBF,178640,4,['Ariana Grande'],"['dance pop', 'pop', 'post-teen pop']",This Is How We Do
Thursday (feat. H.E.R.),0.771,0.575,2,-4.128,1,0.0513,0.316,0,0.0849,0.419,111.93,audio_features,1ymEwygMMg5JwVAnh3C7yY,spotify:track:1ymEwygMMg5JwVAnh3C7yY,https://api.spotify.com/v1/tracks/1ymEwygMMg5JwVAnh3C7yY,https://api.spotify.com/v1/audio-analysis/1ymEwygMMg5JwVAnh3C7yY,216297,4,"['Jess Glynne', 'H.E.R.']","[['dance pop', 'pop', 'post-teen pop', 'tropical house', 'uk pop'], ['alternative r&b', 'pop', 'r&b']]",Hot Hits UK
Now You're Gone (feat. Zara Larsson),0.644,0.721,9,-8.495,0,0.431,0.629,7.52e-05,0.146,0.233,101.503,audio_features,2oVoSgGAlog02WQ2pLCxcT,spotify:track:2oVoSgGAlog02WQ2pLCxcT,https://api.spotify.com/v1/tracks/2oVoSgGAlog02WQ2pLCxcT,https://api.spotify.com/v1/audio-analysis/2oVoSgGAlog02WQ2pLCxcT,212142,4,"['Tom Walker', 'Zara Larsson']","[['indie anthem-folk', 'modern rock'], ['dance pop', 'edm', 'electropop', 'pop', 'post-teen pop', 'r&b', 'scandipop', 'swedish electropop', 'swedish pop', 'tropical house']]",Hot Hits UK
Better When You're Gone,0.647,0.795,1,-3.548,0,0.0372,0.0635,0,0.188,0.409,127.992,audio_features,4Tvw0lweq9l2JPQKFbpbBQ,spotify:track:4Tvw0lweq9l2JPQKFbpbBQ,https://api.spotify.com/v1/tracks/4Tvw0lweq9l2JPQKFbpbBQ,https://api.spotify.com/v1/audio-analysis/4Tvw0lweq9l2JPQKFbpbBQ,192402,4,"['David Guetta', 'Brooks', 'Loote']","[['dance pop', 'edm', 'pop'], ['big room', 'deep big room', 'edm', 'electro house', 'future house', 'house', 'pop edm', 'progressive electro house', 'progressive house'], ['dance pop', 'electropop', 'indie cafe pop', 'indie poptimism', 'pop', 'pop edm', 'post-teen pop', 'tropical house']]",Massive Dance Hits
Options,0.836,0.621,1,-4.685,0,0.0892,0.387,9.16e-05,0.104,0.762,101.995,audio_features,2cytBOLpwFRX7J9URCrFIe,spotify:track:2cytBOLpwFRX7J9URCrFIe,https://api.spotify.com/v1/tracks/2cytBOLpwFRX7J9URCrFIe,https://api.spotify.com/v1/audio-analysis/2cytBOLpwFRX7J9URCrFIe,240082,4,"['NSG', 'Tion Wayne']","[['afrobeats', 'grime', 'uk hip hop'], ['uk hip hop']]",Rap UK
Talk,0.9,0.4,0,-8.443,1,0.124,0.0501,0,0.0876,0.338,136.001,audio_features,0rTV5WefWd1J3OwIheTzxM,spotify:track:0rTV5WefWd1J3OwIheTzxM,https://api.spotify.com/v1/tracks/0rTV5WefWd1J3OwIheTzxM,https://api.spotify.com/v1/audio-analysis/0rTV5WefWd1J3OwIheTzxM,197487,4,"['Khalid', 'Disclosure']","[['pop'], ['house', 'pop', 'tropical house']]",This Is How We Do
Bones (feat. OneRepublic),0.66,0.788,0,-5.844,1,0.0374,0.00464,0,0.179,0.494,120.048,audio_features,1pfgsjmxVZhoZpeDx6POKv,spotify:track:1pfgsjmxVZhoZpeDx6POKv,https://api.spotify.com/v1/tracks/1pfgsjmxVZhoZpeDx6POKv,https://api.spotify.com/v1/audio-analysis/1pfgsjmxVZhoZpeDx6POKv,205793,4,"['Galantis', 'OneRepublic']","[['big room', 'dance pop', 'edm', 'electro house', 'pop', 'tropical house'], ['dance pop', 'neo mellow', 'piano rock', 'pop', 'pop rap', 'pop rock', 'post-teen pop']]",Hot Hits UK
"Swan Song (From the Motion Picture ""Alita: Battle Angel"")",0.588,0.821,5,-6.54,0,0.216,0.00579,0.000275,0.208,0.509,188.098,audio_features,5600nq7TiBraBX2jobyJ3l,spotify:track:5600nq7TiBraBX2jobyJ3l,https://api.spotify.com/v1/tracks/5600nq7TiBraBX2jobyJ3l,https://api.spotify.com/v1/audio-analysis/5600nq7TiBraBX2jobyJ3l,182075,4,['Dua Lipa'],"['dance pop', 'pop', 'post-teen pop', 'uk pop']",Hot Hits UK
Nobody,0.673,0.687,6,-5.295,0,0.0623,0.269,0,0.181,0.524,96.964,audio_features,2qfEcCkEo5NscA9GL7ER72,spotify:track:2qfEcCkEo5NscA9GL7ER72,https://api.spotify.com/v1/tracks/2qfEcCkEo5NscA9GL7ER72,https://api.spotify.com/v1/audio-analysis/2qfEcCkEo5NscA9GL7ER72,211040,4,"['Martin Jensen', 'James Arthur']","[['big room', 'dance pop', 'edm', 'electro house', 'pop', 'pop edm', 'tropical house'], ['dance pop', 'pop', 'post-teen pop', 'talent show']]",Hot Hits UK
